date,orders_cnt,total_spend,aov,median_delivery,p90_delivery,avg_fees_ratio,late_night_share,weekend_share
2025-10-20,1,16.8,16.8,22.0,22.0,0.0476190476190476,0.0,0.0
2025-10-21,1,24.38,24.38,,,0.0566037735849056,0.0,0.0
2025-10-22,1,24.17,24.17,43.0,43.0,0.0566818369880016,0.0,0.0
2025-10-23,1,11.88,11.88,11.0,11.0,0.1666666666666666,0.0,0.0
2025-10-25,1,24.91,24.91,151.0,151.0,0.0566037735849056,0.0,1.0
2025-10-29,1,31.66,31.66,26.0,26.0,0.0312697409981048,0.0,0.0
2025-10-30,1,24.17,24.17,31.0,31.0,0.0566818369880016,0.0,0.0
2025-10-31,1,22.26,22.26,18.0,18.0,0.0566037735849056,0.0,0.0
2025-11-06,1,30.88,30.88,45.0,45.0,0.0582901554404145,0.0,0.0
2025-11-07,1,23.32,23.32,47.0,47.0,0.0566037735849056,0.0,0.0
2025-11-08,1,28.64,28.64,29.0,29.0,0.0,0.0,1.0
2025-11-09,1,24.17,24.17,36.0,36.0,0.0566818369880016,0.0,1.0
2025-11-10,1,24.17,24.17,24.0,24.0,0.0566818369880016,0.0,0.0
2025-11-15,1,26.61,26.61,48.0,48.0,0.0567455843667794,0.0,1.0
2025-11-18,2,46.89,23.445,40.0,44.8,0.05739021426864865,0.0,0.0
2025-11-19,2,48.39,24.195,21.0,21.0,0.0500482382334696,0.0,0.0
2025-11-20,3,66.87,22.290000000000003,36.0,53.6,0.05518532859262487,0.3333333333333333,0.0
2025-11-23,2,38.95,19.475,38.0,50.0,0.052722012029650794,0.0,1.0
2025-11-25,1,35.1,35.1,35.0,35.0,0.0282051282051282,0.0,0.0
2025-11-26,2,32.83,16.415,36.0,40.8,0.04751093853810085,0.0,0.0
2025-11-27,2,37.8,18.9,28.0,37.6,0.02841744243018125,0.0,0.0
2025-11-30,1,28.52,28.52,70.0,70.0,0.0,0.0,1.0
2025-12-04,1,14.13,14.13,45.0,45.0,0.0523708421797593,0.0,0.0
2025-12-05,1,23.94,23.94,45.0,45.0,0.0,0.0,0.0
2025-12-07,2,49.519999999999996,24.759999999999998,40.5,54.5,0.0,0.0,1.0
2025-12-09,1,23.94,23.94,47.0,47.0,0.0,0.0,0.0
2025-12-11,2,75.72,37.86,50.5,51.7,0.01123978201634875,0.0,0.0
2025-12-13,1,13.99,13.99,49.0,49.0,0.0,1.0,1.0
2025-12-14,1,35.1,35.1,25.0,25.0,0.0282051282051282,0.0,1.0
2025-12-18,1,25.08,25.08,21.0,21.0,0.0079744816586921,0.0,0.0
2025-12-22,1,15.62,15.62,1.0,1.0,0.0473751600512163,0.0,0.0
2025-12-23,2,36.99,18.495,25.5,29.1,0.0475528116587387,0.0,0.0
2025-12-28,1,15.54,15.54,48.0,48.0,0.0476190476190476,0.0,1.0
2025-12-30,1,12.43,12.43,29.0,29.0,0.079646017699115,0.0,0.0
2026-01-10,1,24.39,24.39,31.0,31.0,0.05740057400574,0.0,1.0
2026-01-16,1,18.32,18.32,28.0,28.0,0.0955240174672489,0.0,0.0
2026-10-25,1,23.16,23.16,,,0.0427461139896373,0.0,1.0
